,"Proportion of crows",,,"Mosquitoes per crow",,,
87.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
87.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
87.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
87.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
88,0.002,0.000,0.998,12.795,30.001,0.000,0.000
88.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
88.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
88.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
88.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
88.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
88.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
88.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
88.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
88.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
89,0.002,0.000,0.998,12.795,30.001,0.000,0.000
89.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
89.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
89.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
89.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
89.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
89.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
89.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
89.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
89.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
90,0.002,0.000,0.998,12.795,30.001,0.000,0.000
90.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
90.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
90.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
90.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
90.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
90.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
90.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
90.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
90.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
91,0.002,0.000,0.998,12.795,30.001,0.000,0.000
91.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
91.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
91.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
91.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
91.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
91.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
91.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
91.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
91.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
92,0.002,0.000,0.998,12.795,30.001,0.000,0.000
92.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
92.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
92.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
92.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
92.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
92.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
92.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
92.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
92.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
93,0.002,0.000,0.998,12.795,30.001,0.000,0.000
93.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
93.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
93.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
93.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
93.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
93.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
93.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
93.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
93.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
94,0.002,0.000,0.998,12.795,30.001,0.000,0.000
94.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
94.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
94.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
94.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
94.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
94.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
94.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
94.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
94.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
95,0.002,0.000,0.998,12.795,30.001,0.000,0.000
95.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
95.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
95.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
95.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
95.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
95.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
95.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
95.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
95.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
96,0.002,0.000,0.998,12.795,30.001,0.000,0.000
96.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
96.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
96.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
96.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
96.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
96.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
96.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
96.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
96.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
97,0.002,0.000,0.998,12.795,30.001,0.000,0.000
97.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
97.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
97.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
97.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
97.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
97.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
97.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
97.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
97.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
98,0.002,0.000,0.998,12.795,30.001,0.000,0.000
98.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
98.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
98.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
98.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
98.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
98.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
98.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
98.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
98.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
99,0.002,0.000,0.998,12.795,30.001,0.000,0.000
99.1,0.002,0.000,0.998,12.795,30.001,0.000,0.000
99.2,0.002,0.000,0.998,12.795,30.001,0.000,0.000
99.3,0.002,0.000,0.998,12.795,30.001,0.000,0.000
99.4,0.002,0.000,0.998,12.795,30.001,0.000,0.000
99.5,0.002,0.000,0.998,12.795,30.001,0.000,0.000
99.6,0.002,0.000,0.998,12.795,30.001,0.000,0.000
99.7,0.002,0.000,0.998,12.795,30.001,0.000,0.000
99.8,0.002,0.000,0.998,12.795,30.001,0.000,0.000
99.9,0.002,0.000,0.998,12.795,30.001,0.000,0.000
100,0.002,0.000,0.998,12.795,30.001,0.000,0.000
